2019-04-21 19:08:03 INFO  BasePage:48 - [[ChromeDriver: chrome on XP (04bbbe074c76e2ea843ac39cf9140042)] -> xpath: //a[@href='/womens-clothing/sarees/?MID=megamenu_sarees_seeall']] found
2019-04-22 22:42:18 INFO  BasePage:48 - [[ChromeDriver: chrome on XP (4b4e362bb39824a9e7c6f938bdfbfe58)] -> xpath: //a[@href='/womens-clothing/sarees/?MID=megamenu_sarees_seeall']] found
2019-04-22 22:42:19 INFO  BasePage:64 - Mousehovered on [[ChromeDriver: chrome on XP (4b4e362bb39824a9e7c6f938bdfbfe58)] -> xpath: //a[@href='/womens-clothing/sarees/?MID=megamenu_sarees_seeall']]
2019-04-22 22:42:19 INFO  BasePage:79 - MouseHovered on[[ChromeDriver: chrome on XP (4b4e362bb39824a9e7c6f938bdfbfe58)] -> xpath: //a[@href='/womens-clothing/sarees/?MID=megamenu_sarees_seeall']]
2019-04-22 22:43:19 ERROR BasePage:52 - Proxy element for: DefaultElementLocator 'By.linkText: Embroidered Sarees' not found : org.openqa.selenium.TimeoutException: Expected condition failed: waiting for visibility of Proxy element for: DefaultElementLocator 'By.linkText: Embroidered Sarees' (tried for 10 second(s) with 500 milliseconds interval)
2019-04-22 22:44:33 INFO  BasePage:48 - [[ChromeDriver: chrome on XP (cf1a7511ff60cf0bb0dd3a1e7b97522b)] -> xpath: //a[@href='/womens-clothing/sarees/?MID=megamenu_sarees_seeall']] found
2019-04-22 22:44:34 INFO  BasePage:64 - Mousehovered on [[ChromeDriver: chrome on XP (cf1a7511ff60cf0bb0dd3a1e7b97522b)] -> xpath: //a[@href='/womens-clothing/sarees/?MID=megamenu_sarees_seeall']]
2019-04-22 22:44:34 INFO  BasePage:79 - MouseHovered on[[ChromeDriver: chrome on XP (cf1a7511ff60cf0bb0dd3a1e7b97522b)] -> xpath: //a[@href='/womens-clothing/sarees/?MID=megamenu_sarees_seeall']]
2019-04-22 22:45:40 ERROR BasePage:52 - Proxy element for: DefaultElementLocator 'By.linkText: Embroidered Sarees' not found : org.openqa.selenium.TimeoutException: Expected condition failed: waiting for visibility of Proxy element for: DefaultElementLocator 'By.linkText: Embroidered Sarees' (tried for 10 second(s) with 500 milliseconds interval)
2019-04-22 23:15:43 INFO  BasePage:48 - [[ChromeDriver: chrome on XP (d666dd8194da48cf18ed787b9ce1ab1d)] -> xpath: //span[text()='Sign In']] found
2019-04-22 23:15:45 INFO  BasePage:51 - Sucessfully clicked on[[ChromeDriver: chrome on XP (d666dd8194da48cf18ed787b9ce1ab1d)] -> xpath: //span[text()='Sign In']]
2019-04-22 23:16:17 INFO  BasePage:48 - [[ChromeDriver: chrome on XP (daa8e796db901760c36e5a7ba7394294)] -> xpath: //span[text()='Sign In']] found
2019-04-22 23:16:17 INFO  BasePage:51 - Sucessfully clicked on[[ChromeDriver: chrome on XP (daa8e796db901760c36e5a7ba7394294)] -> xpath: //span[text()='Sign In']]
2019-04-22 23:17:20 INFO  BasePage:48 - [[ChromeDriver: chrome on XP (b7b71c711fdbdcbe8cffa8e18366f123)] -> xpath: //span[text()='Sign In']] found
2019-04-22 23:17:21 INFO  BasePage:51 - Sucessfully clicked on[[ChromeDriver: chrome on XP (b7b71c711fdbdcbe8cffa8e18366f123)] -> xpath: //span[text()='Sign In']]
